,id,name,service_name,service_id,location
1669,60097,Myllypuron liikuntapuisto / Baseballkenttä,Pallokenttä,495,POINT (60.21579 25.07191)
1670,59992,Roihuvuoren ala-aste / Pallokenttä,Pallokenttä,495,POINT (60.201134 25.053574)
1671,59987,Vaaralan pienpelikenttä,Pallokenttä,495,POINT (60.265873 25.091202)
1672,59985,Rajakylän liikuntapuiston futsal-kenttä,Pallokenttä,495,POINT (60.248863 25.108923)
1673,59982,Sinirikonpuiston pienpelikenttä,Pallokenttä,495,POINT (60.294315 25.030193)
1674,59974,Lipunkantajan minijalkapallokenttä,Pallokenttä,495,POINT (60.321705 24.852583)
1675,59930,Rajakylän liikuntapuiston tekonurmikenttä (100x65),Pallokenttä,495,POINT (60.24721 25.108856)
1676,59928,Havukosken pieni tekonurmikenttä KOIPS,Pallokenttä,495,POINT (60.314255 25.06573)
1677,59907,Paloheinänkenttä / Tekonurmikenttä (HPS),Pallokenttä,495,POINT (60.246727 24.922218)
1678,59812,Rajatorpan pieni pelikenttä,Pallokenttä,495,POINT (60.259083 24.824926)
1679,59409,Länsimäen koulun tekonurmi (40x20),Pallokenttä,495,POINT (60.2483 25.115967)
1680,58580,Myyrmäen urheilutalon tekonurmikenttä VJS (90x65),Pallokenttä,495,POINT (60.265358 24.849678)
1681,58473,Kulosaarenkenttä / Tekonurmikenttä (Kulps),Pallokenttä,495,POINT (60.18661 25.00175)
1682,58008,Kallahdenkenttä / Tekonurmikenttä,Pallokenttä,495,POINT (60.200714 25.131165)
1683,57399,Puistokenttä Pöllökallio,Pallokenttä,495,POINT (60.25296 24.806591)
1684,57397,Oittaan petanque-kenttä,Pallokenttä,495,POINT (60.241257 24.65684)
1685,57336,Oittaan beachfutiskenttä,Pallokenttä,495,POINT (60.240215 24.660074)
1686,57319,Pisanpuisto / Petanque-kenttä,Pallokenttä,495,POINT (60.175335 24.672934)
1687,57279,Puistopolun peruskoulu / Lähiliikuntapaikka,Pallokenttä,495,POINT (60.211163 25.141668)
1688,57236,Matinkylän asukaspuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.157585 24.747824)
1689,57222,Padel Club Viikinranta / Padelkenttä,Pallokenttä,495,POINT (60.21826 24.98746)
1690,57221,ProPADEL Sörnäinen / Padelkenttä,Pallokenttä,495,POINT (60.182423 24.963198)
1691,57217,Iso Vasikkasaari / Nurmikenttä,Pallokenttä,495,POINT (60.140812 24.761778)
1692,57200,Kalasataman peruskoulu / Hiekkakenttä,Pallokenttä,495,POINT (60.184128 24.978964)
1693,56675,Kalasatamanpuisto / Pallokenttä,Pallokenttä,495,POINT (60.184544 24.977837)
1694,54480,Itä-Hakkilan ministadion I-HK,Pallokenttä,495,POINT (60.293587 25.106106)
1695,54480,Itä-Hakkilan ministadion I-HK,Lähiliikuntapaikka,415,POINT (60.293587 25.106106)
1696,54479,Rajakylän liikuntapuiston hiekkakenttä,Pallokenttä,495,POINT (60.24787 25.108728)
1697,54475,Lipunkantajan hiekkakenttä,Pallokenttä,495,POINT (60.321636 24.851717)
1698,54371,Haarssin tekonurmikenttä,Pallokenttä,495,POINT (60.323517 24.714466)
1699,54050,Leppävaaran urheilupuisto / Petanque-kenttä,Pallokenttä,495,POINT (60.226383 24.797642)
1700,54041,Pattistenpelto / Nurmikenttä,Pallokenttä,495,POINT (60.160927 24.776413)
1701,54036,Kaskikappeli / Hiekkakenttä,Pallokenttä,495,POINT (60.177773 24.65572)
1702,54026,Lillhemtinpuisto / Nurmikenttä,Pallokenttä,495,POINT (60.186665 24.735298)
1703,54015,Storängens skola (Rehtorinkuja) / Hiekkakenttä,Pallokenttä,495,POINT (60.146984 24.665066)
1704,53999,Kilonpuisto / Nurmikenttä,Pallokenttä,495,POINT (60.2145 24.789377)
1705,53998,Karamzinin koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.244358 24.709993)
1706,53967,Hösmärinniitty / Nurmikenttä,Pallokenttä,495,POINT (60.19846 24.677576)
1707,53793,Suvelan asukaspuisto / Pallokenttä,Pallokenttä,495,POINT (60.203865 24.671833)
1708,53752,Boställsskolan / Hiekkakenttä,Pallokenttä,495,POINT (60.226707 24.82646)
1709,53704,Kaivomestarin koulu / Hiekkakenttä 2,Pallokenttä,495,POINT (60.210987 24.660587)
1710,53621,Säterinniitynkenttä / Tekonurmikenttä,Pallokenttä,495,POINT (60.21527 24.799019)
1711,53588,Sakarinmäen peruskoulu / Hiekkakenttä 2,Pallokenttä,495,POINT (60.26131 25.212646)
1712,53564,Niittykummun hiekkakenttä,Pallokenttä,495,POINT (60.17063 24.769665)
1713,53561,Lehtisaarenkenttä / Tekonurmikenttä,Pallokenttä,495,POINT (60.18123 24.853308)
1714,53538,Leppävaaran urheilupuisto / Nurmikenttä 1,Pallokenttä,495,POINT (60.225967 24.79888)
1715,53525,Vesalanpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.239872 25.098694)
1716,51097,Santahamina / Hiekkakenttä,Pallokenttä,495,POINT (60.151356 25.047977)
1717,51096,Myllynsiipi kirkkopuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.22434 25.066082)
1718,50641,Tikkurilan urheilupuiston pieni tekonurmikenttä (67x55),Pallokenttä,495,POINT (60.30055 25.025366)
1719,50530,Lystimäen hiekkakenttä,Pallokenttä,495,POINT (60.17836 24.752316)
1720,50529,Saunalahden koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.169838 24.614893)
1721,50526,Itärannan hiekkakenttä,Pallokenttä,495,POINT (60.175472 24.823751)
1722,50523,Espoon Kaksoiskiventie / Hiekkakenttä,Pallokenttä,495,POINT (60.204468 24.695107)
1723,50463,Pitkännotkon hiekkakenttä,Pallokenttä,495,POINT (60.199623 24.686083)
1724,50460,Mankkaan asukaspuisto / Nurmikenttä,Pallokenttä,495,POINT (60.191193 24.768126)
1725,50396,Karamalmens skola / Hiekkakenttä,Pallokenttä,495,POINT (60.22314 24.762053)
1726,50389,Koulumestarin koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.213886 24.6413)
1727,50353,Opinmäen koulu / Hiekkakenttä 2,Pallokenttä,495,POINT (60.190205 24.736769)
1728,50339,Opinmäen koulu / tekonurmikenttä,Pallokenttä,495,POINT (60.191246 24.737886)
1729,50334,Vanttilan koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.18415 24.61701)
1730,50332,Vanttilan hiekkakenttä,Pallokenttä,495,POINT (60.184006 24.61886)
1731,50329,Tapionkenttä / Tekonurmikenttä,Pallokenttä,495,POINT (60.178864 24.802845)
1732,50303,Tapiolan urheilupuisto / Pienpelikenttä,Pallokenttä,495,POINT (60.17905 24.782618)
1733,50283,Laaksolahden urheilupuisto / Tekonurmikenttä,Pallokenttä,495,POINT (60.24508 24.747437)
1734,50282,Kauklahden urheilukenttä / Nurmikenttä,Pallokenttä,495,POINT (60.183437 24.57823)
1735,50281,Otaniemen urheilupuisto / Nurmikenttä,Pallokenttä,495,POINT (60.185787 24.834902)
1736,50280,Matinkylän urheilupuisto / Tekonurmikenttä 2,Pallokenttä,495,POINT (60.157825 24.752314)
1737,50267,Ymmerstan koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.205063 24.71037)
1738,50235,Solvallan urheiluopisto / Tekonurmikenttä,Pallokenttä,495,POINT (60.295097 24.560452)
1739,50228,Leikkipuisto Mustakivi / Hiekkakenttä,Pallokenttä,495,POINT (60.20351 25.142336)
1740,50223,Pattistenpelto / Hiekkakenttä,Pallokenttä,495,POINT (60.16206 24.778555)
1741,50222,Ruusutorpan hiekkakenttä,Pallokenttä,495,POINT (60.21534 24.801579)
1742,50219,Soukan asukaspuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.138763 24.66707)
1743,50218,Kalajärven koulu / Hiekkakenttä 2,Pallokenttä,495,POINT (60.308136 24.732107)
1744,50208,Käpylän liikuntapuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.206875 24.9425)
1745,50179,LEPA-Areena / Tekonurmikenttä,Pallokenttä,495,POINT (60.224712 24.80671)
1746,46392,Leppäviidanpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.218143 24.802202)
1747,46391,Lahnapuiston petanque-kenttä,Pallokenttä,495,POINT (60.163715 24.767555)
